,original_rf_10000,threshold_rf_10000,threshold_gbt_10000,original_rf_1000,threshold_rf_1000,threshold_gbt_1000,original_rf_100,threshold_rf_100,threshold_gbt_100
AT5G37020-AT5G20070,0.0,0.0,0.0,0.0,0.0,0.0,0.333726653775317,0.0,0.0
AT4G17230-AT5G67080,0.0,0.4295800431146553,0.0,0.0,0.5184038640868461,0.0,0.0,0.5440042020719572,0.0
AT1G04990-AT5G54960,0.0,0.0,0.0,0.349544004647435,0.0,0.0,0.341218792584373,0.0,0.0
AT1G30330-AT5G36925,0.0,0.7140431227441861,0.6598921970450533,0.0,0.6716964431165018,0.6626637583489325,0.0,0.4736842105263157,0.5981867666638571
AT1G51140-AT5G24850,0.0,0.4415154675745517,0.0,0.0,0.4028055510492354,0.0,0.0,0.4736842105263157,0.0
AT5G37020-AT1G43700,0.0,0.804665457099724,0.804665457099724,0.0,0.804665457099724,0.804665457099724,0.0,0.804665457099724,0.804665457099724
AT3G57920-AT5G52510,0.0,0.549276209336948,0.5929030677817633,0.0,0.4954618047008299,0.5936170300342135,0.0,0.0,0.5130369281697755
AT1G30330-AT4G37610,0.0,0.4414195155059723,0.0,0.0,0.4602364517650105,0.0,0.0,0.5789473684210527,0.4508751330321637
AT1G51140-AT4G39070,0.0,0.4425905864418829,0.4731441587447655,0.0,0.4114574468972386,0.4752111197696674,0.680572224913021,0.5676429568078154,0.4436880622685175
AT5G06110-AT3G20770,0.0,0.4524212862320118,0.3686392100540439,0.0,0.4725785769435501,0.3973050336970648,0.811919540095759,0.3684210526315789,0.4366263304897235
AT3G57920-AT2G27080,0.0,0.4060617470637944,0.4246482732102881,0.0,0.3725334747819099,0.3980258298050215,0.0,0.0,0.3473063931709235
AT4G36730-AT2G28550,0.0,0.512085770104569,0.4505961357101368,0.0,0.4374132478149765,0.4779968608000079,0.0,0.0,0.4048876565695884
AT5G37020-AT5G23730,0.0,0.4162610896638767,0.0,0.0,0.4480043031830255,0.0,0.467770182166516,0.3684210526315789,0.0
AT5G63470-AT5G65280,0.0,0.0,0.0,0.0,0.33332366774748,0.0,0.0,0.4210526315789474,0.0
Feature-Target Gene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT5G37020-AT1G78820,0.0,0.3973666604388305,0.0,0.557229970430849,0.4353588057236586,0.0,0.482408583369752,0.4210526315789474,0.0
AT2G28450-AT3G17690,0.538094949960099,0.0,0.0,0.632741289969414,0.0,0.0,0.621205071161615,0.0,0.0
